ano,mes,sigla_uf,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,quantidade_horas_contratadas,salario_mensal,indicador_aprendiz,indicador_portador_deficiencia,cbo_2002,grau_instrucao,idade,sexo,raca_cor,previsao
2018,4,RO,1,1,2,1,44,1085.0,0,0,5,7,31,0,9.0,1
2019,11,RO,0,1,11,2,44,1128.0,0,0,5,7,24,0,9.0,0
2018,7,RO,0,1,4,1,44,954.0,0,0,4,3,50,0,8.0,0
2019,4,RO,0,1,4,3,44,1038.0,0,0,4,7,27,0,8.0,0
2019,9,RO,0,1,4,4,44,1128.0,0,0,9,7,29,1,9.0,0
2018,9,RO,1,3,2,1,44,1908.0,0,0,7,7,22,1,8.0,1
2018,11,RO,0,1,4,2,36,1085.0,0,0,5,7,27,0,8.0,0
2019,2,RO,1,1,2,5,44,998.0,0,0,3,7,24,0,9.0,1
2019,10,RO,0,1,4,4,44,1703.0,0,0,3,7,29,1,8.0,0
2018,1,RO,0,1,6,2,44,1105.0,0,0,5,7,26,0,8.0,0
2019,11,RO,1,1,2,1,44,1128.0,0,0,4,8,22,0,2.0,1
2019,6,RO,1,1,2,1,44,1136.0,0,0,5,7,22,0,9.0,1
2018,7,RO,0,3,6,1,44,954.0,0,0,6,6,27,1,8.0,0
2018,3,RO,1,1,2,5,44,1500.0,0,0,8,7,35,1,8.0,1
2019,6,AC,0,3,4,4,44,998.0,0,0,7,6,23,1,4.0,0
2018,7,AC,0,1,4,2,44,1030.0,0,0,4,7,28,1,9.0,0
2018,10,AC,1,1,2,1,44,1030.0,0,0,2,9,40,0,2.0,1
2018,3,AC,0,1,4,3,44,1030.0,0,0,5,5,36,0,8.0,0
2019,1,AC,1,1,1,2,44,1047.0,0,0,5,7,24,0,8.0,1
2018,8,AC,1,1,2,2,44,1030.0,0,0,4,7,27,0,8.0,1
2019,6,AC,1,1,2,2,44,1047.0,0,0,4,7,42,1,8.0,1
2019,3,AC,1,1,2,3,44,1600.0,0,0,2,9,24,0,8.0,1
2019,3,AC,1,1,2,3,44,1392.0,0,0,4,7,23,0,9.0,1
2019,1,AC,1,1,2,1,44,1077.0,0,0,7,5,23,1,4.0,1
2018,3,AC,1,1,2,2,44,1030.0,0,0,3,7,56,1,9.0,1
2018,9,AC,1,1,2,6,44,1660.0,0,0,7,7,41,1,8.0,1
2019,4,AC,0,1,4,9,40,1600.0,0,0,1,9,34,0,9.0,0
2019,6,AC,0,3,4,4,44,998.0,0,0,5,5,28,1,2.0,0
2018,12,AC,0,1,4,9,44,1666.0,0,0,4,7,37,0,9.0,0
2018,1,AC,0,1,4,1,44,1620.0,0,0,7,7,37,1,9.0,0
2018,12,AC,0,1,4,4,44,1292.0,0,0,4,7,29,1,9.0,0
2018,9,AC,0,1,4,9,44,966.0,0,0,7,7,28,1,8.0,0
2019,9,AC,0,1,4,4,44,1155.0,0,0,5,7,36,1,9.0,0
2018,5,AC,0,1,4,6,44,1090.0,0,0,5,6,33,1,8.0,0
2019,5,AC,0,1,4,4,44,1030.0,0,0,5,7,25,0,8.0,0
2019,7,AC,0,1,4,7,44,1337.0,0,0,7,7,31,1,8.0,0
2018,2,AC,1,1,25,7,40,1454.0,0,0,7,7,44,1,9.0,1
2019,10,AC,1,1,25,3,44,1200.0,0,0,3,9,23,0,9.0,1
2019,9,AC,0,1,43,1,44,1775.0,0,0,7,5,45,1,8.0,0
2019,8,AC,0,1,43,6,36,1151.0,0,0,5,7,58,1,9.0,0
2018,10,AC,0,1,11,1,44,1032.0,0,0,7,7,19,1,9.0,0
2019,2,AM,1,3,2,1,44,998.0,0,0,6,1,46,1,8.0,1
2018,6,AM,1,1,2,2,44,1035.0,0,0,4,7,19,1,8.0,1
2019,11,AM,0,1,4,1,44,1500.0,0,0,7,3,47,1,2.0,0
2018,12,AM,1,1,2,1,44,1300.0,0,0,9,7,56,1,8.0,1
2018,12,AM,1,3,2,1,44,2000.0,0,0,1,2,44,1,8.0,1
2018,9,AM,1,1,1,6,20,477.0,1,0,4,7,21,0,8.0,1
2019,7,AM,1,1,1,3,44,1090.0,0,0,4,7,18,0,2.0,1
2018,6,AM,1,1,1,8,44,1072.0,0,0,4,9,21,0,8.0,1
2018,7,AM,1,1,1,5,44,1401.0,0,0,7,7,30,1,6.0,1
2019,8,AM,1,1,1,2,44,1200.0,0,0,4,7,24,0,8.0,1
2019,6,AM,1,1,2,1,44,1135.0,0,0,5,7,40,1,8.0,1
2019,3,AM,1,1,2,1,44,1090.0,0,0,5,9,33,0,8.0,1
2019,5,AM,1,1,2,8,44,1426.0,0,0,5,7,35,0,8.0,1
2018,11,AM,1,1,2,7,44,3807.0,0,0,3,7,34,1,8.0,1
2019,7,AM,1,1,2,5,44,1764.0,0,0,7,7,25,1,8.0,1
2019,6,AM,1,1,2,1,44,1506.0,0,0,7,4,45,1,2.0,1
2018,5,AM,1,1,2,6,44,1606.0,0,0,4,7,28,0,9.0,1
2018,1,AM,1,1,2,8,44,1130.0,0,0,7,7,27,0,8.0,1
2018,7,AM,1,1,2,7,44,980.0,0,0,5,7,32,0,8.0,1
2018,7,AM,1,1,2,2,44,1050.0,0,0,5,7,18,1,8.0,1
2018,6,AM,1,1,2,4,44,827.0,0,0,5,7,46,1,9.0,1
2019,7,AM,1,1,2,1,44,1718.0,0,0,5,9,28,1,8.0,1
2018,10,AM,1,1,2,6,44,1050.0,0,0,5,7,41,0,8.0,1
2018,12,AM,1,1,2,7,20,477.0,1,0,9,7,19,1,8.0,1
2018,2,AM,1,1,2,5,36,1050.0,0,0,4,7,20,1,8.0,1
2019,7,AM,1,1,2,8,44,1283.0,0,0,7,7,27,1,8.0,1
2018,3,AM,1,1,2,4,44,1037.0,0,0,5,5,22,1,8.0,1
2018,9,AM,1,1,2,1,44,954.0,0,0,3,7,27,0,8.0,1
2019,3,AM,1,1,2,4,44,3000.0,0,0,4,9,27,0,8.0,1
2019,6,AM,1,1,2,7,44,1081.0,0,0,7,7,20,1,8.0,1
2019,10,AM,1,1,2,8,44,1150.0,0,1,5,2,39,1,8.0,1
2018,2,AM,1,1,2,2,36,1300.0,0,0,5,7,33,1,8.0,1
2018,1,AM,1,1,2,2,36,1206.0,0,0,4,7,29,0,2.0,1
2018,5,AM,1,3,2,1,44,995.0,0,0,7,7,44,0,8.0,1
2018,3,AM,1,1,2,3,36,2000.0,0,0,4,9,20,0,8.0,1
2019,8,AM,1,1,2,3,44,1050.0,0,0,4,7,28,0,2.0,1
2019,9,AM,1,1,2,8,31,1100.0,0,0,5,8,23,0,8.0,1
2019,6,AM,1,1,2,5,30,1017.0,0,0,2,9,28,0,8.0,1
2019,9,AM,1,1,2,6,44,1113.0,0,0,5,7,38,0,8.0,1
2018,6,AM,1,1,2,2,44,1050.0,0,0,4,9,24,0,8.0,1
2019,11,AM,1,1,2,8,44,1020.0,0,0,5,7,26,0,8.0,1
2019,7,AM,1,1,2,4,44,1041.0,0,0,5,7,28,1,8.0,1
2019,2,AM,1,1,2,8,44,1020.0,0,0,5,5,28,1,8.0,1
2019,6,AM,1,1,2,4,44,1497.0,0,0,3,7,32,1,8.0,1
2018,4,AM,1,1,2,5,44,1050.0,0,0,8,5,27,1,8.0,1
2018,8,AM,1,1,2,6,44,2700.0,0,0,4,8,23,0,8.0,1
2018,1,AM,1,1,2,5,44,982.0,0,0,5,7,20,0,9.0,1
2019,2,AM,1,1,2,2,44,1050.0,0,0,5,7,21,0,8.0,1
2019,5,AM,1,1,2,8,44,1277.0,0,0,5,5,45,1,8.0,1
2019,10,AM,1,1,2,6,44,1090.0,0,0,5,7,23,1,8.0,1
2019,10,AM,1,1,2,1,44,1090.0,0,0,5,7,20,0,8.0,1
2018,7,AM,1,1,2,6,44,2005.0,0,0,3,9,38,0,8.0,1
2019,11,AM,1,1,2,1,44,1020.0,0,0,5,8,28,1,8.0,1
2018,10,AM,1,1,2,1,44,954.0,0,0,5,6,34,0,8.0,1
2018,4,AM,1,1,2,1,44,990.0,0,0,5,7,29,0,8.0,1
2019,10,AM,1,1,2,9,44,1020.0,0,0,5,7,43,0,2.0,1
2019,9,AM,1,1,2,7,44,1324.0,0,0,7,7,37,1,8.0,1
2019,2,AM,1,1,2,6,44,1020.0,0,0,5,5,46,1,2.0,1
2018,11,AM,1,1,2,4,44,1050.0,0,0,5,7,26,1,9.0,1
2018,10,AM,1,1,2,1,44,1050.0,0,0,4,7,32,0,8.0,1
